id,breed_primary,age,sex,size,env_children,env_dogs,env_cats,contact_state
46042150,American Staffordshire Terrier,Senior,Male,Medium,NA,NA,NA,NV
46042002,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
46040898,Shepherd,Adult,Male,Large,NA,NA,NA,NV
46039877,German Shepherd Dog,Baby,Female,Large,NA,NA,NA,NV
46039306,Dachshund,Young,Male,Small,TRUE,TRUE,TRUE,NV
46039304,Boxer,Baby,Male,Medium,TRUE,TRUE,TRUE,NV
46039303,Italian Greyhound,Baby,Female,Small,TRUE,TRUE,TRUE,NV
46039302,Cattle Dog,Baby,Male,Medium,TRUE,TRUE,TRUE,NV
46039301,Cattle Dog,Baby,Female,Medium,TRUE,TRUE,TRUE,NV
46038709,Cattle Dog,Baby,Male,Medium,TRUE,TRUE,TRUE,NV
46038708,Cattle Dog,Baby,Female,Medium,TRUE,TRUE,TRUE,NV
46038703,Italian Greyhound,Baby,Female,Small,TRUE,TRUE,TRUE,NV
46038700,Cattle Dog,Baby,Male,Medium,TRUE,TRUE,NA,NV
46038243,Border Collie,Adult,Female,Medium,NA,TRUE,NA,NV
46038070,Pit Bull Terrier,Young,Female,Large,NA,NA,NA,NV
46038064,German Shepherd Dog,Adult,Male,Extra Large,NA,NA,NA,NV
46038065,Schnauzer,Adult,Male,Medium,NA,NA,NA,NV
46038067,Pit Bull Terrier,Adult,Female,Large,NA,NA,NA,NV
46038068,Boxer,Young,Male,Large,NA,NA,NA,NV
46038060,Pit Bull Terrier,Young,Male,Medium,NA,NA,NA,NV
46038062,Pit Bull Terrier,Young,Male,Large,NA,NA,NA,NV
46038063,Pit Bull Terrier,Adult,Male,Large,NA,NA,NA,NV
46038061,Dachshund,Baby,Male,Small,NA,NA,NA,NV
46037951,Shepherd,Baby,Female,Medium,NA,TRUE,NA,NV
46037918,Chihuahua,Baby,Female,Medium,NA,TRUE,NA,NV
46037881,Cocker Spaniel,Senior,Male,Medium,TRUE,TRUE,TRUE,NV
46037860,Chihuahua,Adult,Female,Small,NA,TRUE,NA,NV
46037820,Chihuahua,Senior,Female,Small,NA,TRUE,NA,NV
